beach_id,height,period,direction,hits_at,pred_dtime
1,5.0,14.6,76,2004-03-11 01:00:00,2004-01-01 00:00:00
1,4.6,15.1,75,2004-03-10 21:00:00,2004-01-01 00:00:00
1,3.5,15.6,73,2004-03-10 19:00:00,2004-01-01 00:00:00
1,2.3,15.8,79,2004-03-10 17:00:00,2004-01-01 00:00:00
1,1.7,15.9,79,2004-03-10 16:00:00,2004-01-01 00:00:00
1,1.3,16.1,81,2004-03-10 15:00:00,2004-01-01 00:00:00
1,2.7,12.1,102,2004-05-28 08:00:00,2004-01-01 00:00:00
1,1.7,9.9,57,2004-03-10 18:00:00,2004-01-01 00:00:00
1,0.6,8.5,115,2004-05-24 16:00:00,2004-01-01 00:00:00
1,1.4,7.1,85,2004-06-12 08:00:00,2004-01-01 00:00:00
1,0.9,10.1,61,2004-03-10 12:00:00,2004-01-01 00:00:00
1,0.6,7.6,121,2004-05-25 06:00:00,2004-01-01 00:00:00
1,3.0,12.3,96,2004-05-29 00:00:00,2004-01-01 00:00:00
1,0.0,0.0,0,2004-03-09 18:00:00,2004-01-01 00:00:00
1,0.8,10.1,61,2004-03-10 06:00:00,2004-01-01 00:00:00
1,0.9,10.2,61,2004-03-10 05:00:00,2004-01-01 00:00:00
1,1.0,10.2,62,2004-03-10 04:00:00,2004-01-01 00:00:00
1,1.0,9.0,67,2004-06-03 07:00:00,2004-01-01 00:00:00
1,0.4,14.7,20,2004-05-25 19:00:00,2004-01-01 00:00:00
1,2.9,11.3,89,2004-05-27 11:00:00,2004-01-01 00:00:00
1,2.1,11.1,52,2004-03-09 14:00:00,2004-01-01 00:00:00
1,2.1,11.2,52,2004-03-09 13:00:00,2004-01-01 00:00:00
1,2.1,11.2,51,2004-03-09 12:00:00,2004-01-01 00:00:00
1,2.1,11.3,51,2004-03-09 10:00:00,2004-01-01 00:00:00
1,1.6,7.7,61,2004-06-01 15:00:00,2004-01-01 00:00:00
1,3.2,10.8,29,2004-03-09 08:00:00,2004-01-01 00:00:00
1,5.3,10.2,357,2004-03-09 02:00:00,2004-01-01 00:00:00
1,4.6,9.9,358,2004-03-09 00:00:00,2004-01-01 00:00:00
1,5.2,9.5,358,2004-03-08 22:00:00,2004-01-01 00:00:00
1,4.3,9.3,3,2004-03-08 20:00:00,2004-01-01 00:00:00
1,1.7,10.9,73,2004-03-08 11:00:00,2004-01-01 00:00:00
1,1.6,10.9,73,2004-03-08 10:00:00,2004-01-01 00:00:00
1,1.7,10.8,74,2004-03-08 08:00:00,2004-01-01 00:00:00
1,1.6,10.8,74,2004-03-08 07:00:00,2004-01-01 00:00:00
1,1.6,10.9,76,2004-03-08 03:00:00,2004-01-01 00:00:00
1,1.5,11.0,77,2004-03-08 00:00:00,2004-01-01 00:00:00
1,1.2,11.2,78,2004-03-07 21:00:00,2004-01-01 00:00:00
1,1.2,11.3,78,2004-03-07 20:00:00,2004-01-01 00:00:00
1,0.9,11.4,82,2004-03-07 17:00:00,2004-01-01 00:00:00
1,0.7,11.5,83,2004-03-07 16:00:00,2004-01-01 00:00:00
1,1.1,9.7,128,2004-03-07 06:00:00,2004-01-01 00:00:00
1,1.4,9.8,128,2004-03-07 05:00:00,2004-01-01 00:00:00
1,1.4,9.8,128,2004-03-07 04:00:00,2004-01-01 00:00:00
1,1.4,9.9,128,2004-03-07 03:00:00,2004-01-01 00:00:00
1,0.3,9.0,109,2004-05-26 07:00:00,2004-01-01 00:00:00
1,1.5,9.9,128,2004-03-07 01:00:00,2004-01-01 00:00:00
1,1.5,10.0,127,2004-03-06 22:00:00,2004-01-01 00:00:00
1,1.5,10.1,127,2004-03-06 20:00:00,2004-01-01 00:00:00
1,1.4,10.1,127,2004-03-06 19:00:00,2004-01-01 00:00:00
1,1.5,10.1,127,2004-03-06 18:00:00,2004-01-01 00:00:00
1,1.7,10.2,127,2004-03-06 16:00:00,2004-01-01 00:00:00
1,1.7,10.4,127,2004-03-06 14:00:00,2004-01-01 00:00:00
1,1.7,10.5,126,2004-03-06 13:00:00,2004-01-01 00:00:00
1,1.7,10.7,126,2004-03-06 12:00:00,2004-01-01 00:00:00
1,1.8,10.7,126,2004-03-06 11:00:00,2004-01-01 00:00:00
1,2.1,11.1,126,2004-03-06 04:00:00,2004-01-01 00:00:00
1,2.2,11.2,126,2004-03-06 02:00:00,2004-01-01 00:00:00
1,2.2,11.2,126,2004-03-06 01:00:00,2004-01-01 00:00:00
1,2.3,11.4,125,2004-03-05 22:00:00,2004-01-01 00:00:00
1,0.4,14.6,20,2004-05-25 23:00:00,2004-01-01 00:00:00
1,2.4,11.8,124,2004-03-05 19:00:00,2004-01-01 00:00:00
1,1.5,8.6,63,2004-06-02 02:00:00,2004-01-01 00:00:00
1,2.1,12.0,123,2004-03-05 17:00:00,2004-01-01 00:00:00
1,0.2,8.6,67,2004-06-21 11:00:00,2004-01-01 00:00:00
1,1.3,8.8,80,2004-06-09 06:00:00,2004-01-01 00:00:00
1,2.0,9.3,84,2004-03-05 20:00:00,2004-01-01 00:00:00
1,2.3,9.4,85,2004-03-05 18:00:00,2004-01-01 00:00:00
1,2.1,9.8,85,2004-03-05 16:00:00,2004-01-01 00:00:00
1,2.2,9.9,85,2004-03-05 15:00:00,2004-01-01 00:00:00
1,2.2,9.9,84,2004-03-05 14:00:00,2004-01-01 00:00:00
1,2.3,10.0,83,2004-03-05 13:00:00,2004-01-01 00:00:00
1,2.4,10.0,83,2004-03-05 12:00:00,2004-01-01 00:00:00
1,2.6,10.1,85,2004-03-05 11:00:00,2004-01-01 00:00:00
1,2.6,10.2,86,2004-03-05 10:00:00,2004-01-01 00:00:00
1,2.9,10.6,85,2004-03-05 06:00:00,2004-01-01 00:00:00
1,3.2,10.9,86,2004-03-05 02:00:00,2004-01-01 00:00:00
1,3.1,11.1,86,2004-03-04 23:00:00,2004-01-01 00:00:00
1,3.2,11.2,85,2004-03-04 21:00:00,2004-01-01 00:00:00
1,3.3,11.2,85,2004-03-04 20:00:00,2004-01-01 00:00:00
1,3.5,11.3,85,2004-03-04 18:00:00,2004-01-01 00:00:00
1,3.3,11.4,85,2004-03-04 17:00:00,2004-01-01 00:00:00
1,3.7,11.4,84,2004-03-04 16:00:00,2004-01-01 00:00:00
1,3.8,11.4,84,2004-03-04 15:00:00,2004-01-01 00:00:00
1,3.8,11.4,83,2004-03-04 14:00:00,2004-01-01 00:00:00
1,4.7,11.7,84,2004-03-04 12:00:00,2004-01-01 00:00:00
1,4.7,11.6,83,2004-03-04 11:00:00,2004-01-01 00:00:00
1,4.7,11.5,82,2004-03-04 10:00:00,2004-01-01 00:00:00
1,4.5,11.3,81,2004-03-04 08:00:00,2004-01-01 00:00:00
1,0.4,9.0,110,2004-05-26 05:00:00,2004-01-01 00:00:00
1,4.1,10.9,78,2004-03-04 05:00:00,2004-01-01 00:00:00
1,4.0,10.8,77,2004-03-04 03:00:00,2004-01-01 00:00:00
1,3.9,10.8,77,2004-03-04 02:00:00,2004-01-01 00:00:00
1,3.9,10.8,77,2004-03-04 01:00:00,2004-01-01 00:00:00
1,3.4,11.0,84,2004-03-03 18:00:00,2004-01-01 00:00:00
1,3.3,11.0,84,2004-03-03 17:00:00,2004-01-01 00:00:00
1,3.3,11.1,83,2004-03-03 15:00:00,2004-01-01 00:00:00
1,3.2,11.2,79,2004-03-03 12:00:00,2004-01-01 00:00:00
1,0.4,9.0,110,2004-05-26 08:00:00,2004-01-01 00:00:00
1,6.7,11.1,16,2004-03-03 06:00:00,2004-01-01 00:00:00
1,6.9,11.1,16,2004-03-03 05:00:00,2004-01-01 00:00:00
